n_rooms,n_toilets,area,x,y,distance_UBND,district,polistic,furniture,house_direct,balcony_direct,n_hospitals,n_schools,price
3,2,108,21.03445816,105.7696533,3.61,Nam Tu Liem,so do,co ban,Tay - Bac,Dong - Nam,0,5,53.7037037
3,2,161.8,21.07865143,105.8026123,3.58,Tay Ho,hdmb,day du,Dong - Bac,Dong - Nam,0,1,69
3,2,108,21.03445816,105.7696533,3.61,Nam Tu Liem,so do,cao cap,Tay - Nam,Dong - Bac,0,5,48.14814815
3,2,114,21.04015923,105.7613144,4.35,Nam Tu Liem,hdmb,cao cap,Tay - Nam,Dong - Bac,1,6,48.72807018
2,3,152,21.03004456,105.7766266,3.09,Nam Tu Liem,so do,day du,Dong - Nam,Tay - Bac,0,5,35.5
2,2,114.5,21.01563644,105.8571854,5.91,Hai Ba Trung,so do,co ban,Dong - Bac,Tay - Nam,1,4,40.17467249
2,2,69,20.97776985,105.836113,7.23,Hoang Mai,so do,day du,Dong - Nam,Dong - Nam,1,6,39
1,1,47,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,0,0,37.44680851
2,1,48,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,0,0,36.45833333
3,2,118,21.01193619,105.7749939,4.29,Nam Tu Liem,so do,day du,Tay,Dong,0,1,27
1,1,47,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,0,0,37.65957447
2,2,55,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,0,0,39.27272727
2,2,59,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,0,0,36.61016949
2,2,59,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,0,0,36.61016949
1,1,47,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,0,0,37.65957447
3,2,98,21.01682663,105.8152237,2.81,Dong Da,so do,cao cap,Dong - Nam,Dong - Nam,4,25,51.02040816
3,2,86,21.04015923,105.7613144,4.35,Nam Tu Liem,so do,cao cap,Dong - Nam,Dong - Nam,1,6,40.69767442
2,2,74,21.06909752,105.8880386,8.73,Long Bien,so do,cao cap,Tay - Bac,Tay - Bac,2,5,37.83783784
